frames are transmitted::frames are transmitted
out onto optical::out onto optical
optical fiber links::optical fiber links
possibility of multiple::possibility of multiple
multiple sdh multiplexers::multiple sdh multiplexers
out one wavelength::out one wavelength
stands for wave::stands for wave
wave length division::wave length division
length division multiplexing::length division multiplexing
form of frequency::form of frequency
frequency division multiplexing::frequency division multiplexing
multiplexing i mentioned::multiplexing i mentioned
talked about frequency::talked about frequency
multiplexing in fiber::multiplexing in fiber
talk about wavelength::talk about wavelength
multiplexer is feeding::multiplexer is feeding
wavelengths are traveling::wavelengths are traveling
accesses the individual::accesses the individual
individual data streams::individual data streams
frames as required::frames as required
required so stm::required so stm
lots of frames::lots of frames
sort of separated::sort of separated
fed into slower::fed into slower
sdh add drop::sdh add drop
add drop multiplexer::add drop multiplexer
ability to remove::ability to remove
remove and insert::remove and insert
insert lower bit::insert lower bit
lower bit rate::lower bit rate
bit rate streams::bit rate streams
alternatively a digital::alternatively a digital
digital cross connect::digital cross connect
ability to switch::ability to switch
switch individual vc4s::switch individual vc4s
handling a huge::handling a huge
number of channels::number of channels
domain without doing::domain without doing
doing any kind::doing any kind
kind of processing::kind of processing
envelope this envelope::envelope this envelope
protocol will encapsulate::protocol will encapsulate
kind of system::kind of system
overheads ? payload::overheads ? payload
end system overhead::end system overhead
term other bits::term other bits
bits and bytes::bits and bytes
overhead of sonet::overhead of sonet
concept of concatenation::concept of concatenation
envelope can carry::envelope can carry
carry super rate::carry super rate
super rate data::super rate data
rate data payload::rate data payload
method of concatenation::method of concatenation
nonstandard functional names::nonstandard functional names
names in sonet::names in sonet
line terminating equipment::line terminating equipment
equipment or lte::equipment or lte
ends of point-to-point::ends of point-to-point
point-to-point links adm::point-to-point links adm
mentioned this dcc::mentioned this dcc
cross connect wideband::cross connect wideband
wideband and broadband::wideband and broadband
drop and repeat::drop and repeat
concepts in sonet::concepts in sonet
show you figure::show you figure
output that fits::output that fits
multiplexer this multiplexer::multiplexer this multiplexer
signal becomes weak::signal becomes weak
boosts the signal::boosts the signal
de-multiplexer from repeater::de-multiplexer from repeater
repeater to repeater::repeater to repeater
repeater to multiplexer::repeater to multiplexer
section so multiplexer::section so multiplexer
multiplexer to repeater::multiplexer to repeater
multiplexer to multiplexer::multiplexer to multiplexer
excepting the signal::excepting the signal
signal is cleaned::signal is cleaned
set of signals::set of signals
signals are traveling::signals are traveling
convergence or divergence::convergence or divergence
signal is flowing::signal is flowing
end user point::end user point
point to end::point to end
line the portion::line the portion
portion from source::portion from source
source to destination::source to destination
line and section::line and section
photonic sub layer::photonic sub layer
means photonic sub::means photonic sub
sections are bounded::sections are bounded
bounded by repeaters::bounded by repeaters
repeaters or multiplexers::repeaters or multiplexers
multiplexers that terminate::multiplexers that terminate
terminate the line::terminate the line
line ; lines::line ; lines
lines may carry::lines may carry
carry several tributary::carry several tributary
bounded by multiplexers::bounded by multiplexers
path goes end::path goes end
end to end::end to end
end between terminating::end between terminating
sth frame lasts::sth frame lasts
microseconds time period::microseconds time period
sort of sacred::sort of sacred
ds0 channel remember::ds0 channel remember
kind of slot::kind of slot
channel in sonet::channel in sonet
means a lot::means a lot
lot of channels::lot of channels
