networks prof .sujoy::networks prof .sujoy
voice is analog::voice is analog
core telephone system::core telephone system
system is digital::system is digital
set of codecs::set of codecs
coders and decoders::coders and decoders
convert this analog::convert this analog
analog voice signal::analog voice signal
kind of digital::kind of digital
system is limited::system is limited
khz this telephone::khz this telephone
first so-called gold::first so-called gold
so-called gold quality::so-called gold quality
high fidelity kind::high fidelity kind
kind of sound::kind of sound
limit the bandwidth::limit the bandwidth
noticeable so voice::noticeable so voice
khz of analog::khz of analog
send this analog::send this analog
back nyquist rate::back nyquist rate
sample any analog::sample any analog
signal at double::signal at double
double the maximum::double the maximum
reconstruct the original::reconstruct the original
original analog signal::original analog signal
khz of signal::khz of signal
khz of bandwidth::khz of bandwidth
points my voice::points my voice
point my voice::point my voice
capturing how high::capturing how high
high or low::high or low
low the volume::low the volume
lot we require::lot we require
samples that makes::samples that makes
kbps please remember::kbps please remember
remember this rate::remember this rate
planned their network::planned their network
places in telecommunications::places in telecommunications
data is encoded::data is encoded
encoded the simplest::encoded the simplest
so-called nrz encoding::so-called nrz encoding
two different voltage::two different voltage
levels to represent::levels to represent
typically negative voltage::typically negative voltage
negative voltage equals::negative voltage equals
positive voltage equals::positive voltage equals
signal never returns::signal never returns
voltage the value::voltage the value
value during bit::value during bit
voltage really remains::voltage really remains
boundaries of bit::boundaries of bit
number of transition::number of transition
kind of scheme::kind of scheme
nrzi that means::nrzi that means
means non return::means non return
voltage during bit::voltage during bit
transition from low::transition from low
low to high::low to high
high to low::high to low
voltage and negative::voltage and negative
constant level signal::constant level signal
interpret the signal::interpret the signal
nrz and nrzi::nrz and nrzi
kind of encoding::kind of encoding
disadvantages of nrz::disadvantages of nrz
ends or starts::ends or starts
drift between timing::drift between timing
timing of transmitter::timing of transmitter
transmitter and receiver::transmitter and receiver
results in errors::results in errors
bit phase encoding::bit phase encoding
transition per bit::transition per bit
clocks can remain::clocks can remain
predictable bit transition::predictable bit transition
manchester and differential::manchester and differential
high transition means::high transition means
low transition means::low transition means
clock synchronization purposes::clock synchronization purposes
period is equal::period is equal
transition is bit::transition is bit
token ring networks::token ring networks
popular these days::popular these days
kinds of encoding::kinds of encoding
ways of encoding::ways of encoding
encoding the digital::encoding the digital
levels and bit::levels and bit
area in communications::area in communications
communications in general::communications in general
radio is carrying::radio is carrying
order to reach::order to reach
send your radio::send your radio
bandwidth is sort::bandwidth is sort
sort of translated::sort of translated
high-frequency so-called carrier::high-frequency so-called carrier
so-called carrier wave::so-called carrier wave
signal is carrying::signal is carrying
ways of doing::ways of doing
doing this so-called::doing this so-called
wave is changed::wave is changed
modulation the frequency::modulation the frequency
phase is changed::phase is changed
picture of digital::picture of digital
means zero represents::means zero represents
represents the low::represents the low
voltage and digital::voltage and digital
signaling and state::signaling and state
examples of encoding::examples of encoding
times a signal::times a signal
signal can change::signal can change
rate and baud::rate and baud
case the bit::case the bit
two signal levels::two signal levels
media that means::media that means
throwing some signal::throwing some signal
send some signal::send some signal
piece of wire::piece of wire
fiber optic cable::fiber optic cable
kind of change::kind of change
kinds of effects::kinds of effects
design our systems::design our systems
signal this kind::signal this kind
change and distortion::change and distortion
attenuation a signal::attenuation a signal
signal get weaker::signal get weaker
propagates ; attenuation::propagates ; attenuation
attenuation becomes greater::attenuation becomes greater
greater with distance::greater with distance
weak to recognize::weak to recognize
original signal strength::original signal strength
distance grows signals::distance grows signals
signals become weaker::signals become weaker
weaker and weaker::weaker and weaker
kind of weakening::kind of weakening
weakening is dependent::weakening is dependent
kind of frequency::kind of frequency
short wave signal::short wave signal
signal may travel::signal may travel
local area network::local area network
make the cable::make the cable
problems for making::problems for making
cable very long::cable very long
signal propagation point::signal propagation point
point of view::point of view
current will leak::current will leak
send a light::send a light
distortion that means::distortion that means
signal changes shapes::signal changes shapes
bits may overlap::bits may overlap
make recognition impossible::make recognition impossible
signal changes shape::signal changes shape
change the shape::change the shape
square wave kind::square wave kind
harmonics or sign::harmonics or sign
sin x sin::sin x sin
frequencies now signals::frequencies now signals
versa the point::versa the point
pick up noise::pick up noise
energy in wire::energy in wire
kind of inherent::kind of inherent
signals so spikes::signals so spikes
car is starting::car is starting
running a motor::running a motor
running a washing::running a washing
carrying a signal::carrying a signal
change the transmission::change the transmission
original signal back::original signal back
thing may happen::thing may happen
high signal-to-noise ratio::high signal-to-noise ratio
ratio in order::ratio in order
order to distinguish::order to distinguish
signal is high::signal is high
signal-to-noise ratio signal::signal-to-noise ratio signal
ratio signal strength::ratio signal strength
signal strength divided::signal strength divided
average noise strength::average noise strength
error will increase::error will increase
signal becomes weaker::signal becomes weaker
weaker and touches::weaker and touches
touches the noise::touches the noise
strong signal-to-noise ratio::strong signal-to-noise ratio
send a signal::send a signal
naturally get weak::naturally get weak
weak so in-between::weak so in-between
put some amplifiers::put some amplifiers
amplifiers or repeaters::amplifiers or repeaters
repeaters or regenerators::repeaters or regenerators
out the noises::out the noises
amplify the signal::amplify the signal
signal and make::signal and make
regenerate the signals::regenerate the signals
maintain an acceptable::maintain an acceptable
acceptable signal-to-noise ratio::acceptable signal-to-noise ratio
interference that means::interference that means
adds to signal::adds to signal
hard to control::hard to control
control or diagnose::control or diagnose
interference can occur::interference can occur
occur at cable::occur at cable
cables are running::cables are running
running in parallel::running in parallel
affect the signal::affect the signal
kind of linkage::kind of linkage
two the so-called::two the so-called
so-called cross talk::so-called cross talk
terminate the thing::terminate the thing
putting some wired::putting some wired
kind of network::kind of network
lot of noise::lot of noise
interference in nearby::interference in nearby
bad at terminations::bad at terminations
terminations where wires::terminations where wires
wires are unwound::wires are unwound
carrying digital data::carrying digital data
data over analog::data over analog
require modems modem::require modems modem
modems modem stands::modems modem stands
stands for modulation::stands for modulation
modulation and demodulation::modulation and demodulation
connect a digital::connect a digital
